"ID","Label","Level","Implement"
"_R","R Glossary of Terms and ...","1","FALSE"
"_R.1","R.1 Modification History","2","TRUE"
"_R.1_BrLeft_2_BrRight_","R.1[2]","2","FALSE"
"_R.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","R.1[2].[t]*","3","FALSE"
"_R.2","R.2 Table of Contents","2","TRUE"
"_R.3","R.3 General","2","FALSE"
"_R.3.1","R.3.1 Scope of this document","3","TRUE"
"_R.3.1_BrLeft_2_BrRight_","R.3.1[2] This document defines ...","3","FALSE"
"_R.3.2","R.3.2 Introduction","3","TRUE"
"_R.3.2_BrLeft_2_BrRight_","R.3.2[2] Many of the terms and ...","3","TRUE"
"_R.3.2_BrLeft_3_BrRight_","R.3.2[3] European Interoperabil...","3","TRUE"
"_R.3.2_BrLeft_4_BrRight_","R.3.2[4] Control Command Signal...","3","TRUE"
"_R.3.2_BrLeft_5_BrRight_","R.3.2[5] CENELEC EN50126 – Sept...","3","TRUE"
"_R.3.2_BrLeft_6_BrRight_","R.3.2[6] CENELEC EN50129 - Dece...","3","TRUE"
"_R.3.2_BrLeft_7_BrRight_","R.3.2[7] Note:  1. Only the hig...","3","FALSE"
"_R.3.2_BrLeft_8_BrRight_","R.3.2[8] 2. Any term not given ...","3","TRUE"
"_R.3.2_BrLeft_9_BrRight_","R.3.2[9] 3. Some terms from the...","3","TRUE"
"_R.3.2_BrLeft_10_BrRight_","R.3.2[10] 4. Low level ETCS docu...","3","TRUE"
"_R.4","R.4 Terms","2","TRUE"
"_R.4_BrLeft_2_BrRight_","R.4[2]","2","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","R.4[2].[t]*","3","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_","R.4[2].[t]*.[r][1]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_.Term","R.4[2].[t]*.[r][1].Term ACKNOWLEDGEMENT","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_1_BrRight_.Definition","R.4[2].[t]*.[r][1].Definition Confirmation by an ent...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_","R.4[2].[t]*.[r][2]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_.Term","R.4[2].[t]*.[r][2].Term ACKNOWLEDGEMENT, DRIVER","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_2_BrRight_.Definition","R.4[2].[t]*.[r][2].Definition Confirmation by the dr...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_","R.4[2].[t]*.[r][3]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_.Term","R.4[2].[t]*.[r][3].Term AIRGAP","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_.Definition","R.4[2].[t]*.[r][3].Definition The set of interfaces ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_","R.4[2].[t]*.[r][4]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_.Term","R.4[2].[t]*.[r][4].Term AIRGAP LANGUAGE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_4_BrRight_.Definition","R.4[2].[t]*.[r][4].Definition The ERTMS/ETCS applica...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_5_BrRight_","R.4[2].[t]*.[r][5]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_5_BrRight_.Term","R.4[2].[t]*.[r][5].Term APPLICATION LEVEL","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_5_BrRight_.Definition","R.4[2].[t]*.[r][5].Definition The different ERTMS/ET...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_6_BrRight_","R.4[2].[t]*.[r][6]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_6_BrRight_.Term","R.4[2].[t]*.[r][6].Term AUTOMATIC TRAIN PROTEC...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_6_BrRight_.Definition","R.4[2].[t]*.[r][6].Definition A safety system that e...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_7_BrRight_","R.4[2].[t]*.[r][7]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_7_BrRight_.Term","R.4[2].[t]*.[r][7].Term AVAILABILITY","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_7_BrRight_.Definition","R.4[2].[t]*.[r][7].Definition","5","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_7_BrRight_.Definition._BrLeft_1_BrRight_","R.4[2].[t]*.[r][7].Definition.[1] The ability of a produ...","6","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_7_BrRight_.Definition._BrLeft_2_BrRight_","R.4[2].[t]*.[r][7].Definition.[2] Definitions for other ...","6","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_8_BrRight_","R.4[2].[t]*.[r][8]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_8_BrRight_.Term","R.4[2].[t]*.[r][8].Term BALISE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_8_BrRight_.Definition","R.4[2].[t]*.[r][8].Definition A passive transponder ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_9_BrRight_","R.4[2].[t]*.[r][9]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_9_BrRight_.Term","R.4[2].[t]*.[r][9].Term BALISE, FIXED","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_9_BrRight_.Definition","R.4[2].[t]*.[r][9].Definition A balise that transmit...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_10_BrRight_","R.4[2].[t]*.[r][10]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_10_BrRight_.Term","R.4[2].[t]*.[r][10].Term BALISE, SWITCHABLE","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_10_BrRight_.Definition","R.4[2].[t]*.[r][10].Definition A balise that transmit...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_11_BrRight_","R.4[2].[t]*.[r][11]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_11_BrRight_.Term","R.4[2].[t]*.[r][11].Term BALISE GROUP","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_11_BrRight_.Definition","R.4[2].[t]*.[r][11].Definition One or more balises wh...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_12_BrRight_","R.4[2].[t]*.[r][12]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_12_BrRight_.Term","R.4[2].[t]*.[r][12].Term BALISE GROUP CO-ORDINA...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_12_BrRight_.Definition","R.4[2].[t]*.[r][12].Definition The means to ensure co...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_13_BrRight_","R.4[2].[t]*.[r][13]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_13_BrRight_.Term","R.4[2].[t]*.[r][13].Term BALISE GROUP LOCATION ...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_13_BrRight_.Definition","R.4[2].[t]*.[r][13].Definition Location of balise num...","5","TRUE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_14_BrRight_","R.4[2].[t]*.[r][14]","4","FALSE"
"_R.4_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_14_BrRight_.Term","R.4[2].[t]*.[r][14].Term BALISE TRANSMISSION MO...","5","TRUE"
